"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,2.15744856116954,0.968,0.344,0,"0","LTB"
0,1.32344902375443,0.914,0.322,0,"0","IL7R"
0,3.09963694971035,0.61,0.079,0,"0","LEF1"
0,1.63249783798898,0.895,0.364,0,"0","GIMAP7"
0,3.03285459473373,0.611,0.091,0,"0","TCF7"
0,3.60890407139992,0.57,0.055,0,"0","MAL"
0,1.89891759627659,0.736,0.224,0,"0","SELL"
0,1.02199417907691,0.969,0.473,0,"0","CD3E"
0,1.70747044427535,0.629,0.151,0,"0","CCR7"
0,0.671379330866713,0.872,0.401,0,"0","CD3D"
0,1.67468113301169,0.713,0.244,0,"0","GIMAP5"
0,2.18694346561002,0.747,0.278,0,"0","NOSIP"
0,1.35142223416519,0.77,0.315,0,"0","GIMAP4"
0,1.73309720610994,0.645,0.192,0,"0","LINC00861"
0,0.887288500661755,0.765,0.324,0,"0","CD3G"
0,2.11620389079411,0.59,0.155,0,"0","FLT3LG"
0,1.49670364223463,0.819,0.396,0,"0","PCED1B-AS1"
0,1.34762929862872,0.832,0.417,0,"0","TLE5"
0,2.40220479441092,0.528,0.115,0,"0","PRKCQ-AS1"
0,1.9334160531747,0.964,0.552,0,"0","LDHB"
0,1.05050685466901,0.851,0.446,0,"0","FYB1"
0,0.861476273705985,0.721,0.35,0,"0","LCK"
0,1.23116465601443,0.707,0.336,0,"0","LIME1"
0,0.540518147833909,0.952,0.585,0,"0","IL32"
0,1.03711390829712,0.985,0.629,0,"0","TXNIP"
0,1.8510067234172,0.52,0.165,0,"0","AQP3"
0,1.51236315479844,0.546,0.197,0,"0","GIMAP1"
0,0.770233298521297,0.967,0.625,0,"0","CD52"
0,1.91534489217252,0.459,0.121,0,"0","RCAN3"
0,0.757107302194611,0.765,0.433,0,"0","EVL"
0,1.06176761922687,0.56,0.229,0,"0","CD27"
0,1.46314616158018,0.512,0.183,0,"0","PIK3IP1"
0,1.20551650999682,0.874,0.546,0,"0","GAS5"
0,1.39274802112273,0.473,0.15,0,"0","CAMK4"
0,0.914040960165396,0.634,0.312,0,"0","RIPOR2"
0,1.083555956609,0.558,0.237,0,"0","LAT"
0,0.94839425032223,0.78,0.462,0,"0","GPSM3"
0,1.18417223288421,0.64,0.322,0,"0","TMEM123"
0,0.792969570556669,0.82,0.502,0,"0","LIMD2"
0,0.696511176791676,0.979,0.672,0,"0","IFITM1"
0,1.30919557072792,0.529,0.226,0,"0","MCUB"
0,1.13716969978443,0.585,0.284,0,"0","RGS10"
0,0.837145674139616,0.813,0.515,0,"0","CD48"
0,2.01557114341568,0.385,0.088,0,"0","INPP4B"
0,0.974459886579234,0.704,0.407,0,"0","CNN2"
0,1.00813723428093,0.591,0.3,0,"0","ADD3"
0,1.04207174582933,0.838,0.548,0,"0","EIF3E"
0,0.940880551302233,0.727,0.45,0,"0","SNHG6"
0,1.05618439652843,0.626,0.352,0,"0","NDFIP1"
0,2.67273079504854,0.308,0.037,0,"0","CD40LG"
0,0.511729183401243,0.738,0.467,0,"0","KLF2"
0,1.74621851378518,0.408,0.138,0,"0","PLSCR3"
0,2.34926167520508,0.343,0.074,0,"0","LDLRAP1"
0,1.1571000812069,0.514,0.248,0,"0","ARHGAP15"
0,1.50763878473367,0.414,0.15,0,"0","AC243960.1"
